,num_bedrooms,total_sqft,sale_price
1093,4,2687,434701.0
1094,4,2433,461792.0
1116,4,3153,531720.0
1117,5,3582,499589.0
1118,5,3576,481323.0
1277,5,3163,486359.0
1587,3,1775,359733.0
1588,4,2219,407609.0
1589,4,2900,435328.0
1590,4,2061,372961.0
1591,3,1776,377367.0
1592,3,2095,347764.0
1593,4,2798,360991.0
1594,3,1681,328233.0
2624,2,1114,245701.0
2626,2,1103,234356.0
2627,2,1260,248217.0
2628,2,1231,12604.0
2629,2,1119,214203.0
2630,2,1071,289798.0
2631,2,971,220499.0
2633,2,1060,241924.0
2643,4,2374,412016.0
2647,3,2284,349017.0
2670,4,2641,455486.0
2673,5,3135,507784.0
2674,5,3135,482576.0
2675,5,2533,403198.0
2676,4,3370,519123.0
2680,3,1989,369182.0
2681,3,1977,378000.0
2682,5,3050,453596.0
2683,5,3051,428397.0
2684,4,2383,422104.0
2685,4,2380,434700.0
2687,4,2728,440999.0
2688,3,3009,441002.0
2689,4,2706,415804.0
2690,5,3407,423358.0
2691,3,2588,359099.0
2692,3,2052,342720.0
2693,4,2930,389344.0
2694,4,2925,403196.0
2695,4,2924,401941.0
2696,3,2590,365404.0
2697,4,1440,270898.0
2698,4,1888,346502.0
2699,4,1440,333903.0
2700,3,1365,327596.0
2701,3,1217,251996.0
2702,4,2203,470612.0
2703,2,1132,283503.0
2704,3,1814,333900.0
2705,3,1819,314997.0
2706,3,2115,346504.0
2707,3,1539,302404.0
2708,3,1869,352797.0
2709,3,1562,280347.0
2710,3,1869,308700.0
2711,2,928,226796.0
2722,2,1361,214196.0
2724,2,1369,214198.0
2725,3,1727,315003.0
2726,4,2138,359097.0
2727,2,965,56697.0
2728,2,1969,182698.0
2729,1,505,44097.0
2730,4,1307,215457.0
2732,3,1446,113396.0
2733,3,1622,364140.0
2840,3,1646,323193.0
6385,4,3231,507782.0
6402,5,4040,525423.0
6448,3,1909,567632.0
6449,3,1904,400677.0
6450,5,2770,476280.0
6479,5,4036,534873.0
6480,4,3496,444153.0
6648,5,3941,541801.0
6915,4,2897,449189.0
6916,4,2888,432806.0
6917,3,1684,333898.0
6931,1,931,225542.0
6932,1,554,225536.0
7984,3,2441,381778.0
7985,4,1801,340200.0
7986,4,2133,376741.0
7990,2,1101,220498.0
7991,2,1103,224281.0
7995,4,2957,425884.0
7996,4,2521,359103.0
7997,4,2268,396898.0
7998,4,2961,396904.0
7999,4,3114,352800.0
8000,4,2529,403198.0
8001,3,1786,342719.0
8002,3,1790,364137.0
8032,5,2839,469981.0
8033,4,2949,453600.0
8034,3,2384,360987.0
8035,3,2571,428400.0
8036,3,2330,406350.0
8037,5,3853,522904.0
8041,3,2200,348389.0
8042,5,3058,425879.0
8043,5,3048,401938.0
8045,3,2480,422097.0
8046,3,2625,443517.0
8047,3,2974,459902.0
8048,4,3136,439736.0
8049,4,2710,430918.0
8050,4,2933,384301.0
8051,3,2258,351537.0
8052,3,2262,378003.0
8053,3,1416,340828.0
8054,3,1213,258302.0
8055,3,1273,302399.0
8056,2,961,253256.0
8057,3,1275,258298.0
8058,3,1275,239404.0
8059,4,2074,340202.0
8060,3,1821,352797.0
8061,3,1826,350278.0
8062,3,1660,327604.0
8063,3,1868,327596.0
8064,4,2072,359103.0
8065,2,1373,280981.0
8066,3,1601,289804.0
8067,3,1858,289803.0
8068,2,1389,264600.0
8077,2,1363,212944.0
8078,5,2844,384302.0
8079,2,806,75601.0
8080,3,1242,252004.0
8081,3,1819,346503.0
8082,4,2444,370442.0
8083,3,1819,345242.0
8084,3,1822,78118.0
8085,2,2814,171363.0
8086,3,1441,352800.0
8087,3,1798,315000.0
8088,3,1808,409497.0
8089,4,1993,415800.0
8090,3,1617,359100.0
9533,4,2374,403199.0
11824,5,3579,561959.0
11825,4,3156,522267.0
11826,5,4028,577082.0
12271,4,2059,420837.0
12272,4,2889,434699.0
12273,4,2054,385563.0
12274,3,1772,381149.0
12275,4,2221,398159.0
12277,3,1680,327603.0
13333,2,1449,340201.0
13335,3,1608,383043.0
13336,2,1150,264597.0
13337,2,1266,231212.0
13338,2,980,230579.0
13339,2,1110,245698.0
13350,4,2519,396904.0
13364,4,2476,439111.0
13373,5,2836,475017.0
13374,5,2831,459270.0
13375,4,2639,458010.0
13376,4,2822,453604.0
13377,5,2831,440373.0
13378,5,3088,491400.0
13379,4,3242,466201.0
13380,4,3006,520380.0
13381,4,3000,461793.0
13382,3,2196,399420.0
13383,3,2479,440999.0
13384,3,2349,415801.0
13385,3,2355,409499.0
13386,4,2997,408237.0
13387,3,2291,314996.0
13388,4,3133,428396.0
13389,4,2582,390604.0
13390,5,2341,391863.0
13391,3,2193,352799.0
13392,3,2293,396898.0
13393,3,2585,352803.0
13394,4,2926,379264.0
13395,3,1365,308701.0
13396,3,1206,277199.0
13397,3,1211,229324.0
13398,3,1217,297988.0
13399,3,1275,277199.0
13400,3,1281,289803.0
13401,3,1283,283503.0
13402,3,1657,302404.0
13403,4,2068,346496.0
13404,3,1559,283503.0
13405,3,1565,235624.0
13406,3,1559,273424.0
13407,2,1253,62998.0
13421,2,1651,233096.0
13423,4,2233,476278.0
13424,2,1437,85681.0
13425,3,1198,85677.0
13426,5,2840,396900.0
13427,4,3007,396899.0
13428,4,2451,346503.0
13429,4,2140,320038.0
13430,3,1855,360356.0
13431,2,1441,188998.0
13432,1,522,182701.0
13433,3,2057,289797.0
13434,4,2190,252004.0
17094,5,3583,479941.34
17149,4,2540,546842.0
17150,4,2547,410133.0
17151,4,2428,408870.0
17152,5,2792,448562.0
17153,4,2694,427140.0
17565,4,2888,448564.0
17610,4,2898,427766.0
17611,4,2223,420840.0
17612,4,2793,371699.0
18668,4,2293,396903.0
18670,2,1117,264604.0
18680,4,2525,333902.0
18681,3,1950,365399.0
18703,5,3132,473759.0
18704,5,2831,504631.0
18705,4,2482,442264.0
18706,5,2837,451079.0
18707,5,3099,459903.0
18708,4,2829,453600.0
18709,4,3034,471239.0
18711,3,2284,384299.0
18712,4,2855,409503.0
18713,4,2342,421474.0
18714,5,2921,449819.0
18715,4,2981,459901.0
18716,3,2483,524156.0
18717,3,2621,413278.0
18718,4,3204,440997.0
18719,4,2843,434696.0
18720,5,2343,396903.0
18721,3,2105,386823.0
18722,3,2056,351540.0
18723,4,1882,343977.0
18724,3,1366,311216.0
18725,2,961,262084.0
18726,2,919,254521.0
18727,3,1210,289799.0
18728,3,1280,297364.0
18729,3,1206,277197.0
18730,3,1283,302399.0
18731,3,1280,182701.0
18732,3,1274,307441.0
18733,3,1213,270901.0
18734,3,1663,296096.0
18735,4,2076,327596.0
18737,3,1657,321303.0
18738,2,1375,233730.0
18739,3,1861,289802.0
18740,2,1913,277204.0
18741,3,2119,378001.0
18742,3,2122,378002.0
18750,2,1642,227429.0
18753,2,1050,171362.0
18754,3,1456,88203.0
18755,3,1540,6303.0
18756,3,1534,18898.0
18757,3,2687,428404.0
18758,2,1443,173883.0
18759,3,1780,264596.0
18760,2,1951,314996.0
18761,3,1450,472503.0
18762,4,1702,396900.0
18763,3,2228,441001.0
18868,3,1254,270901.0
22455,4,3491,538018.0
22514,5,2722,469352.0
22515,5,2770,511561.0
22516,4,2428,448560.0
22517,5,2733,429028.0
22518,4,2425,410132.0
22548,4,3229,500223.0
22549,4,3301,504627.0
22550,4,3489,475648.0
22703,5,3164,480691.0
22927,3,1770,375481.0
22928,5,2563,417691.0
22929,4,2218,407610.0
22930,3,1686,306183.0
22931,3,1774,377372.0
24043,4,2160,386820.0
24044,5,3423,472498.0
24045,3,2016,386820.0
24049,4,2097,386821.0
24052,4,2137,384299.0
24053,4,1802,356576.0
24054,4,1803,327602.0
24056,2,1110,296097.0
24057,2,1256,240657.0
24058,2,1241,236884.0
24059,2,1119,258301.0
24060,2,1059,240663.0
24061,2,1071,233103.0
24074,6,2810,346501.0
24075,4,2373,396903.0
24102,4,2481,458643.0
24103,5,3131,523526.0
24104,4,2637,449194.0
24105,5,3130,473756.0
24106,5,3134,483843.0
24107,4,3237,482577.0
24108,3,1827,389336.0
24109,3,2578,439744.0
24110,5,3878,522901.0
24112,3,1984,372960.0
24113,3,1643,355323.0
24114,3,2771,431552.0
24115,3,2396,409496.0
24116,5,2460,408243.0
24118,3,2772,463681.0
24119,5,3705,525423.0
24120,4,3002,434696.0
24121,3,2777,497696.0
24122,3,2105,371703.0
24123,4,2710,390599.0
24124,4,2708,396896.0
24125,5,2338,388078.0
24126,4,2799,461162.0
24127,4,2709,400046.0
24128,4,2718,415796.0
24129,3,1666,360363.0
24130,3,2268,369183.0
24131,3,1284,252003.0
24132,3,1207,298616.0
24133,3,1215,287283.0
24134,2,969,263968.0
24136,3,1824,346499.0
24137,3,2112,352801.0
24138,3,2117,269010.0
24139,3,1718,328857.0
24140,3,1549,308700.0
24141,3,2497,415802.0
24143,2,1917,296102.0
24144,2,1919,296104.0
24145,3,1860,287277.0
24146,2,1445,201603.0
24147,3,1539,340203.0
24156,2,1294,223021.0
24157,2,1367,260824.0
24159,5,2834,346496.0
24160,3,1725,327602.0
24161,5,3368,15119.0
24162,3,1602,409497.0
24163,3,1830,403202.0
24164,3,1822,239397.0
24165,3,2406,478804.0
24166,3,1455,333902.0
24167,2,785,100804.0
25319,3,1214,280980.0
27830,5,4032,529203.0
27886,4,2540,484472.0
27887,4,2432,430920.0
27888,3,1915,439113.0
27889,5,2751,447302.0
27914,5,4030,524788.0
28103,5,3634,548096.0
28371,4,2063,374219.0
28372,4,2056,389339.0
28373,4,2223,403830.0
28374,4,2215,406351.0
28375,3,1680,302396.0
29455,4,3192,378003.0
29456,4,3189,478804.0
29457,3,2285,403203.0
29458,3,2437,399417.0
29462,2,1102,262083.0
29464,2,1235,214197.0
29465,2,1239,204754.0
29466,2,1240,257038.0
29467,2,1111,242553.0
29468,2,1099,287906.0
29469,2,1291,199707.0
29470,2,1107,230580.0
29471,2,1111,251371.0
29472,2,973,185848.0
29474,2,1107,233101.0
29480,4,1880,264597.0
29501,5,3124,483212.0
29504,4,2481,432811.0
29505,4,2471,430293.0
29506,3,2331,378000.0
29507,5,2731,437217.0
29508,4,2302,409502.0
29509,3,2326,403198.0
29512,3,1980,390596.0
29513,5,2455,415802.0
29514,4,2850,437224.0
29515,3,2617,409499.0
29516,5,2921,422104.0
29517,4,2724,466199.0
29518,5,2924,425881.0
29519,4,3524,422100.0
29520,4,2388,390596.0
29521,3,2625,428403.0
29522,3,2099,354061.0
29523,3,2479,428396.0
29524,3,2100,377996.0
29525,5,3705,433444.0
29526,5,3414,377999.0
29527,4,3126,481946.0
29528,4,2578,401938.0
29529,4,2417,377998.0
29530,4,2924,367916.0
29531,4,1882,327600.0
29532,4,2410,355950.0
29533,3,1280,268384.0
29534,3,1214,302403.0
29535,3,1217,208531.0
29536,2,913,239403.0
29537,3,1755,327600.0
29538,3,1665,298621.0
29539,3,2119,390602.0
29540,3,2500,196559.0
29541,3,1717,320036.0
29543,2,1338,365403.0
29544,3,1537,233102.0
29545,3,2500,384301.0
29555,2,1649,245699.0
29556,3,1715,326341.0
29557,2,1443,176400.0
29558,3,1681,415802.0
29560,3,1036,212944.0
29561,1,683,7561.0
29562,3,1828,396901.0
29563,3,1402,409496.0
29564,4,1506,264603.0
29565,3,1690,238137.0
29566,3,2411,440999.0
33247,4,2422,531724.0
33249,4,2697,454860.0
33250,3,1914,440366.0
33287,5,4034,549361.0
33288,5,3576,539279.0
33289,5,4193,527939.0
33445,4,3071,462421.0
33722,4,2061,376114.0
33723,4,2062,385556.0
33724,3,1771,381148.0
33725,3,2086,351536.0
34777,4,2233,365398.0
34778,3,2167,434697.0
34781,3,2449,396898.0
34784,2,1063,264601.0
34802,6,2814,425880.0
34803,4,2035,365403.0
34804,4,2028,365399.0
34827,4,2477,459899.0
34828,4,2631,483838.0
34829,5,2831,454858.0
34830,5,2837,471244.0
34831,5,2836,447296.0
34832,3,1825,356583.0
34833,3,2327,396902.0
34834,3,1964,400678.0
34835,5,3733,510296.0
34836,4,2246,400681.0
34837,3,2201,183959.0
34838,3,1641,350913.0
34839,3,2194,434070.0
34840,4,3528,497698.0
34841,3,1676,359099.0
34842,3,2481,413276.0
34843,4,3134,462418.0
34844,4,2708,415171.0
34845,3,2099,365400.0
34846,3,1538,313743.0
34847,3,1306,296104.0
34848,3,1545,320044.0
34849,3,1208,258302.0
34850,3,1823,351544.0
34851,3,1822,340199.0
34852,3,1668,337050.0
34853,3,2495,327602.0
34857,4,2076,359097.0
34858,2,1920,327599.0
34859,2,1375,239397.0
34860,3,1555,264602.0
34861,3,1556,277204.0
34862,2,1919,308696.0
34863,2,1326,255781.0
34864,3,1861,308701.0
34876,2,1642,236249.0
34881,4,2453,349020.0
34882,2,1754,44102.0
34883,2,966,97016.0
34884,1,556,57962.0
34885,1,552,63001.0
34886,2,962,83789.0
34887,3,2289,428400.0
34888,3,1758,359101.0
34889,5,3368,395640.0
34890,4,2117,478803.0
34891,4,2421,472496.0
34892,3,1363,346496.0
36000,4,3236,459900.0
38453,5,3586,539907.0
38454,4,3489,465566.0
38492,5,2759,498330.0
38493,3,1912,474390.0
38494,4,2427,458643.0
38495,4,2421,585897.0
38497,4,2542,442256.0
38498,3,1915,437218.0
38499,4,2537,429657.0
38500,3,1902,388713.0
38501,3,1906,424620.0
38529,4,3234,500848.0
39605,2,1547,156237.0
40018,4,2297,365396.0
40020,2,1241,248220.0
40024,2,970,211683.0
40025,2,1121,242554.0
40041,5,2387,428400.0
40067,4,2472,451710.0
40068,4,2642,448556.0
40069,4,2870,430919.0
40070,5,2768,514084.0
40071,4,2802,403200.0
40072,3,2335,384302.0
40073,4,2411,390603.0
40074,5,3585,510297.0
40075,5,3883,577083.0
40077,3,2392,346497.0
40078,5,3058,402569.0
40079,3,2348,411387.0
40080,4,2843,232473.0
40081,4,2942,432182.0
40082,3,2294,403826.0
40083,5,2346,395008.0
40084,3,1365,309331.0
40085,4,1888,299246.0
40086,4,1438,327602.0
40087,2,964,263973.0
40088,2,909,220499.0
40090,4,2079,354057.0
40091,3,1537,314998.0
40092,3,1725,100798.0
40093,3,1714,321298.0
40094,3,1725,327601.0
40095,3,1540,303656.0
40096,3,1660,314996.0
40097,2,1919,327597.0
40113,2,1639,226799.0
40114,2,1300,202859.0
40116,2,811,284762.0
40117,2,954,284761.0
40118,3,1734,502740.0
40119,2,842,45358.0
40120,4,1797,396902.0
40121,2,1349,262077.0
40122,3,2585,291692.0
